ticker,fqtr,quarter,ann_time_iq,call_time_iq,CAR,Surprise_EPS_iq,TariffSent_mean_call_iq,TariffMentions_iq,TariffSent_fwd_iq,size,bm,momentum_12_2,ivol,after_hours,qa_share,sector,eps_actual,TariffSent_shareNeg,tariff_sentences
NVDA,2025_Q3,2025_Q3,2024-11-20,2024-11-20 17:00:00,-0.0240924198746669,-0.004150567631727992,0.793053388595581,2,0.0,0.029571444944671975,,0.4057404230013768,0.029571444944671975,1,,Technology,3.51,0.0,"['It is the case that demand exceeds our supply.', ""And then, Jensen, just overall, you know, with the change in administration that's going to take place here in the U.S. and the China situation, have you gotten any sense or any conversations about, you know, tariffs or anything with regard to your China business, any sense of what may or may not go on?""]"
NVDA,2025_Q2,2025_Q2,2024-08-28,2024-08-28 17:00:00,-0.07697620498946334,-0.004756251531800782,0.0,0,0.0,0.03966350487308113,,0.5879540196702737,0.03966350487308113,1,,Technology,3.51,0.0,[]
NVDA,2025_Q1,2025_Q1,2024-05-22,2024-05-22 17:00:00,0.10800776095314159,-0.006397974514183885,0.0,0,0.0,0.03032526372533481,,0.9493144486619061,0.03032526372533481,1,,Technology,3.51,0.0,[]
NVDA,2024_Q4,2024_Q4,2024-02-21,2024-02-21 17:00:00,0.09549467519917328,-0.008787448687442648,-0.028926938772201538,3,0.0,0.021748799512808666,,0.4308565512264604,0.021748799512808666,1,,Technology,3.51,0.3333333333333333,"['And so So overall, the supply is improving.', ""New startups are creating LLMs to serve the specific languages, cultures, and customs of the world's many regions."", 'And so with all of the new products, demand is greater than supply.']"
NVDA,2024_Q3,2024_Q3,2023-11-21,2023-11-21 17:00:00,-0.04306360764218939,-0.012108145959685568,0.3139607310295105,2,0.0815964862704277,0.021774437483170112,,0.6357744715658002,0.021774437483170112,1,,Technology,3.51,0.0,"['The export controls will have a negative effect on our China business, and we do not have good visibility into the magnitude of that impact even over the long term.', ""There's market demand in manufacturing.""]"
NVDA,2024_Q2,2024_Q2,2023-08-22,2023-08-22 17:00:00,-0.021647818080386416,-0.012996568310198171,-0.1047004759311676,2,-0.8843849301338196,0.027822731070904508,,1.201044872790845,0.027822731070904508,1,,Technology,3.51,0.5,"['At this time, let me take a moment to address recent reports on the potential for increased regulations on our exports to China.', 'Supply will substantially increase for the rest of this year and next year.']"
NVDA,2024_Q1,2024_Q1,2023-05-24,2023-05-24 17:00:00,0.18573169914631085,-0.019892889691808448,-0.893990159034729,1,0.0,0.021371521117344014,,0.8494460494587517,0.021371521117344014,1,,Technology,3.51,1.0,['We are significantly increasing our supply to meet their surging demand.']
MSFT,2025_Q3,2025_Q3,2025-04-30,2025-04-30 17:30:00,0.07377338391451105,-0.0033870471101080353,-0.011051476001739502,2,-0.938149094581604,0.020493608763476653,,-0.023390484515122933,0.020493608763476653,1,,Technology,13.62,0.5,"['We do not undertake any duty to update any forward-looking statement.', 'Windows OEM and devices revenue increased 3% year-over-year, ahead of expectations, as tariff uncertainty through the quarter resulted in inventory levels that remained elevated.']"
MSFT,2025_Q2,2025_Q2,2025-01-29,2025-01-29 17:30:00,-0.07309198025434765,-0.0029904028257892656,-0.01659344509243965,5,-0.9412243962287903,0.015466607501296085,,0.06450158603799383,0.015466607501296085,1,,Technology,13.62,0.4,"['We do not undertake any duty to update any forward-looking statement.', 'Usage from a third-party partnership in search as well as Call of Duty launch performance in gaming.', 'Windows OEM and devices revenue increased 4% year-over-year ahead of expectations, driven by commercial inventory builds in advance of Windows 10 and support, as well as uncertainty around tariffs.', 'Xbox content and services revenue increased 2% ahead of expectations, driven by stronger than expected performance in Blizzard and Activision content, including Call of Duty.', 'Actual results may differ based on current tariff uncertainties.']"
MSFT,2025_Q1,2025_Q1,2024-10-30,2024-10-30 17:30:00,-0.035044907744924136,-0.0031021759500616,0.4051384925842285,4,0.0,0.009965931207437528,,0.09111992830076376,0.009965931207437528,1,,Technology,13.62,0.25,"['We do not undertake any duty to update any forward-looking statements.', ""Last week's launch of Black Ops 6 was the biggest Call of Duty release ever, setting a record for day one players as well as Game Pass subscriber ads on launch day."", ""We're excited about last week's launch of Call of Duty."", 'There are two things about the launch that are different than the Call of Duty launch a year ago, where revenue was mostly recognized in the quarter of purchase.']"
MSFT,2024_Q4,2024_Q4,2024-07-30,2024-07-30 17:30:00,-0.031867587086647844,-0.0031457835550106317,0.9070618748664856,2,0.9066622853279114,0.012296954823140253,,0.06762510268818844,0.012296954823140253,1,,Technology,13.62,0.0,"[""actual results could materially differ because of factors discussed in today's earnings press release in the comments made during this conference call and in the risk factors section of our form 10k forms 10q and other reports and filings with the securities and exchange commission we do not undertake any duty to update any forward-looking statement and with that i'll turn the call over to satya Thank you, Brett."", '18 of them, such as Call of Duty, Black Ops 6, will be available on Game Pass.']"
MSFT,2024_Q3,2024_Q3,2024-04-25,2024-04-25 17:30:00,-0.01374897468628478,-0.003287589969153649,-0.2927674651145935,3,-0.8850200176239014,0.013046840258858768,,0.2146065561498658,0.013046840258858768,1,,Technology,13.62,0.6666666666666666,"['We do not undertake any duty to update any forward-looking statement.', ""We were also encouraged by ongoing success of Call of Duty's Modern Warfare 3, which is attracting new gamers and retaining franchise loyalists."", 'Results were ahead of expectations, primarily driven by call of duty.']"
